assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,id,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
0,0,0,None,None,0,37605,4,,0,0,0,0,0.0,511,202,None,,0,3,2.9,3.4,0,Mesut,0.0,0,0,0.0,511,202,1,False,0.0,511,202,0,,None,70,0,0,None,0,,37605.jpg,0.0,0,0,Özil,1.2,False,None,a,1,3,0.0,507,199,0,768,768,12089,12089,0.0,0.0,Özil,0
0,0,0,0,0,0,39476,None,,0,0,0,0,0.0,348,149,None,,0,2,0.0,0.0,0,Sokratis,0.0,0,0,0.0,361,150,2,False,0.0,354,150,0,Calf injury - Expected back 19 Sep,2020-09-11T11:00:08.600094Z,50,0,0,None,0,,39476.jpg,0.0,0,0,Papastathopoulos,0.1,False,None,i,1,3,0.0,306,138,0,38,38,3080,3080,0.0,0.0,Sokratis,0
0,0,0,0,0,0,41270,None,,0,0,0,0,0.0,431,178,4,,0,2,0.0,0.0,0,David,0.0,0,0,0.0,432,178,3,False,0.0,427,178,0,Neck - Unknown return date,2020-09-10T14:30:11.632386Z,55,0,0,None,0,,41270.jpg,0.0,0,0,Luiz Moreira Marinho,0.8,False,None,i,1,3,0.0,408,174,0,321,321,21032,21032,0.0,0.0,David Luiz,0
0,0,19,None,None,1,54694,None,,0,0,0,0,15.3,49,33,6,,0,3,4.5,5.0,7,Pierre-Emerick,7.0,0,1,10.6,7,4,4,False,36.6,23,8,90,,None,120,0,0,1,0,,54694.jpg,7.0,0,0,Aubameyang,46.4,False,None,a,1,3,54.0,8,4,7,82746,82746,162967,162967,0.6,0.6,Aubameyang,1
0,0,0,None,None,0,58822,None,,-1,1,-1,1,0.0,342,147,None,,0,2,2.6,3.1,0,Cédric,0.0,0,0,0.0,356,148,5,False,0.0,349,148,0,,None,49,0,0,None,0,,58822.jpg,0.0,0,0,Soares,0.5,False,None,a,1,3,0.0,299,136,0,584,584,9159,9159,0.0,0.0,Cédric,0
0,1,29,None,None,1,59966,None,,0,0,0,0,12.7,62,8,5,,0,4,3.5,4.0,7,Alexandre,7.0,0,1,9.9,14,4,6,False,38.6,20,4,86,,None,85,0,0,3,0,,59966.jpg,7.0,0,0,Lacazette,4.8,False,None,a,1,3,48.0,11,7,7,58501,58501,20279,20279,0.8,0.8,Lacazette,0
0,0,0,0,0,0,69140,None,,0,0,0,0,0.0,366,154,None,,0,2,0.0,0.0,0,Shkodran,0.0,0,0,0.0,377,155,7,False,0.0,371,155,0,Hamstring injury - Expected back 31 Oct,2020-08-15T10:00:11.331812Z,50,0,0,None,0,,69140.jpg,0.0,0,0,Mustafi,0.0,False,None,i,1,3,0.0,328,144,0,32,32,154,154,0.0,0.0,Mustafi,0
0,1,29,None,None,1,80201,None,,0,0,0,0,0.0,370,44,None,,0,1,3.0,3.5,7,Bernd,7.0,0,0,1.4,169,10,8,False,14.0,96,10,90,,None,50,0,0,None,0,,80201.jpg,7.0,0,2,Leno,9.0,False,None,a,1,3,0.0,333,44,7,77514,77514,25848,25848,1.4,1.4,Leno,0
0,0,11,None,None,1,84450,None,,0,0,0,0,17.2,42,28,2,,0,3,2.3,2.8,3,Granit,3.0,0,0,4.5,57,29,9,False,6.8,150,61,77,,None,55,0,0,None,0,,84450.jpg,3.0,0,0,Xhaka,0.9,False,None,a,1,3,21.0,43,20,3,7285,7285,6351,6351,0.5,0.5,Xhaka,0
0,0,0,0,0,0,92371,None,,0,0,0,0,0.0,274,112,None,,0,2,0.0,0.0,0,Pablo,0.0,0,0,0.0,292,113,10,False,0.0,285,113,0,Ankle injury - Expected back 03 Oct,2020-08-15T10:00:11.357231Z,45,0,0,None,0,,92371.jpg,0.0,0,0,Marí,0.0,False,None,i,1,3,0.0,220,94,0,29,29,139,139,0.0,0.0,Marí,0
0,0,23,None,None,1,98745,None,,0,0,0,0,26.4,22,7,None,,0,2,2.6,3.1,5,Héctor,5.0,0,0,4.0,71,21,11,False,9.8,128,58,90,,None,50,0,0,None,0,,98745.jpg,5.0,0,0,Bellerín,4.8,False,None,a,1,3,4.0,96,24,5,35429,35429,20211,20211,1.0,1.0,Bellerín,1
0,0,0,None,None,0,98980,None,,0,0,0,0,0.0,276,28,None,,0,1,2.3,2.8,0,Emiliano,0.0,0,0,0.0,294,43,12,False,0.0,287,43,0,,None,45,0,0,None,0,,98980.jpg,0.0,0,0,Martínez,4.6,False,None,a,1,3,0.0,222,28,0,26612,26612,48729,48729,0.0,0.0,Martínez,0
0,0,0,0,0,0,101184,None,,0,0,0,0,0.0,277,113,None,,0,2,0.0,0.0,0,Calum,0.0,0,0,0.0,295,114,13,False,0.0,288,114,0,Knee injury - Unknown return date,2020-08-15T10:00:11.386295Z,45,0,0,None,0,,101184.jpg,0.0,0,0,Chambers,0.0,False,None,i,1,3,0.0,224,96,0,58,58,194,194,0.0,0.0,Chambers,0
0,0,0,None,None,0,111457,None,,0,0,0,0,0.0,382,161,None,,0,2,2.6,3.1,0,Sead,0.0,0,0,0.0,389,161,14,False,0.0,383,161,0,,None,50,0,0,None,0,,111457.jpg,0.0,0,0,Kolasinac,0.3,False,None,a,1,3,0.0,349,155,0,274,274,3593,3593,0.0,0.0,Kolasinac,0
0,0,21,None,None,1,154043,None,,0,0,0,0,2.8,116,27,None,,0,2,2.6,3.1,6,Ainsley,6.0,0,0,1.7,155,55,15,False,10.2,123,57,90,,None,50,0,0,None,0,,154043.jpg,6.0,0,0,Maitland-Niles,2.3,False,None,a,1,3,4.0,99,25,6,18059,18059,9286,9286,1.2,1.2,Maitland-Niles,0
0,0,28,None,None,1,156074,None,,0,0,0,0,1.2,146,37,None,,0,2,2.1,2.6,6,Rob,6.0,0,0,2.2,130,42,16,False,20.6,53,25,90,,None,45,0,0,None,0,,156074.jpg,6.0,0,0,Holding,2.0,False,None,a,1,3,0.0,247,110,6,48208,48208,15391,15391,1.3,1.3,Holding,0
0,0,25,None,None,1,192895,None,,0,0,0,0,2.5,122,29,None,,0,2,3.0,3.5,6,Kieran,6.0,0,0,1.7,157,56,17,False,12.8,107,52,90,,None,55,0,0,None,0,,192895.jpg,6.0,0,0,Tierney,12.1,False,None,a,1,3,2.0,122,36,6,38859,38859,37041,37041,1.1,1.1,Tierney,0
0,0,3,None,None,0,195735,1,,-1,1,-1,1,15.3,48,32,3,,0,3,3.2,3.7,1,Nicolas,1.0,0,0,2.3,127,62,18,False,2.0,193,92,15,,None,79,0,0,2,0,,195735.jpg,1.0,0,0,Pépé,1.7,False,None,a,1,3,6.0,90,46,1,1886,1886,36599,36599,0.1,0.1,Pépé,0
0,0,0,None,None,0,198849,5,,0,0,0,0,0.0,404,153,None,,0,3,1.9,2.4,0,Lucas,0.0,0,0,0.0,410,153,19,False,0.0,405,152,0,,None,50,0,0,None,0,,198849.jpg,0.0,0,0,Torreira,0.2,False,None,a,1,3,0.0,377,129,0,599,599,3240,3240,0.0,0.0,Torreira,0
0,0,0,None,None,0,200089,None,,0,0,0,0,0.0,407,154,None,,0,3,1.9,2.4,0,Joseph,0.0,0,0,0.0,413,154,20,False,0.0,408,153,0,,None,50,0,0,None,0,,200089.jpg,0.0,0,0,Willock,0.1,False,None,a,1,3,0.0,380,130,0,190,190,1323,1323,0.0,0.0,Willock,0
0,0,0,None,None,0,200641,6,,0,0,0,0,0.0,466,180,None,,0,3,2.3,2.8,0,Reiss,0.0,0,0,0.0,466,179,21,False,0.0,463,178,0,,None,55,0,0,None,0,,200641.jpg,0.0,0,0,Nelson,0.1,False,None,a,1,3,0.0,454,170,0,166,166,1058,1058,0.0,0.0,Nelson,0
0,0,3,None,None,0,205533,None,,0,0,0,0,0.0,497,55,None,,0,4,2.3,2.8,1,Edward,1.0,0,0,0.0,498,56,22,False,0.0,495,54,3,,None,60,0,0,None,0,,205533.jpg,1.0,0,0,Nketiah,1.5,False,None,a,1,3,0.0,491,56,1,2571,2571,25455,25455,0.2,0.2,Nketiah,0
0,0,0,0,0,0,209289,None,,0,0,0,0,0.0,319,117,None,,0,3,0.0,0.0,0,Emile,0.0,0,0,0.0,334,118,23,False,0.0,327,115,0,Shoulder injury - Unknown return date,2020-09-11T11:00:08.673059Z,45,0,0,None,0,,209289.jpg,0.0,0,0,Smith Rowe,0.2,False,None,i,1,3,0.0,272,82,0,235,235,3277,3277,0.0,0.0,Smith Rowe,0
0,0,0,None,None,0,223340,3,,-1,1,-1,1,0.0,422,162,None,,0,3,2.2,2.7,0,Bukayo,0.0,0,0,0.0,427,162,24,False,0.0,422,161,0,,None,54,0,0,None,0,,223340.jpg,0.0,0,0,Saka,6.3,False,None,a,1,3,0.0,399,142,0,5343,5343,108894,108894,0.0,0.0,Saka,0
0,0,0,None,None,0,242166,None,,0,0,0,0,0.0,417,159,None,,0,3,1.9,2.4,0,Matteo,0.0,0,0,0.0,422,159,25,False,0.0,417,158,0,,None,50,0,0,None,0,,242166.jpg,0.0,0,0,Guendouzi,0.2,False,None,a,1,3,0.0,393,138,0,449,449,2440,2440,0.0,0.0,Guendouzi,0
0,0,0,0,0,0,444145,None,,0,0,0,0,0.0,419,160,None,,0,3,0.0,0.0,0,Gabriel Teodoro,0.0,0,0,0.0,424,160,26,False,0.0,419,159,0,Knee injury - Expected back 31 Dec,2020-08-15T10:00:11.409498Z,50,0,0,None,0,,444145.jpg,0.0,0,0,Martinelli Silva,0.0,False,None,i,1,3,0.0,396,140,0,156,156,623,623,0.0,0.0,Martinelli,0
0,0,0,None,None,0,462424,None,,-1,1,-1,1,0.0,229,87,None,,0,2,2.0,2.5,0,William,0.0,0,0,0.0,248,88,27,False,0.0,240,88,0,,None,44,0,0,None,0,,462424.jpg,0.0,0,0,Saliba,2.7,False,None,a,1,3,0.0,166,63,0,3027,3027,53340,53340,0.0,0.0,Saliba,0
3,2,35,None,None,1,47431,2,,1,-1,1,-1,38.0,10,8,1,,1,3,3.3,3.8,14,Willian,14.0,0,0,11.5,5,3,478,True,38.6,19,7,74,,None,81,0,0,None,0,,47431.jpg,14.0,0,0,Borges Da Silva,14.5,False,None,a,1,3,38.0,16,6,14,304201,304201,37772,37772,1.7,1.7,Willian,0
